num,smiles,energy
122,C1=CC=C2C(=C1)C(=CN2)CC(=O)N,7.945141
123,C(CCCC(=O)O)CCC(=O)O,2.985833
124,C(CC(C(=O)O)N)CN=C(N)N,10.15495
125,CNCCC1=CNC2=CC=CC=C21,7.360949
126,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,8.23834
127,C(CC(C(=O)O)N)CNC(=O)N,11.03122
128,C(C(CC(=O)O)C(=O)O)C(=O)O,6.552506
129,C(C(C(=O)O)NC(=O)N)C(=O)O,13.96261
130,C1=CC2=C(C=C1O)C(=CN2)CCN,7.72648
131,C1=CC=C(C=C1)C(=O)NCC(=O)O,11.44457
132,C(C1C(C(C(C(O1)O)N)O)O)O,17.33277
133,C1=CC(=C(C=C1C=CC(=O)O)O)O,7.479501
134,C1C(C(C(C(O1)(CO)O)O)O)O,18.91522
135,C(C1C(C(C(C(O1)O)O)O)O)O,16.4235
136,C(C1C(C(C(C(O1)O)O)O)O)O,18.0877
137,C1(C(C(C(C(C1O)O)O)O)O)O,14.65409
140,C1=CC(=CC=C1CC(C(=O)O)O)O,6.4882
141,CC1=NC=C(C(=C1O)C(=O)O)CO,13.12623
142,C1=CC(=C(C=C1C(C(=O)O)O)O)O,10.51591
143,COC1=CC(=CC(=C1O)O)C(=O)O,13.68775
144,COC1=C(C=C(C=C1O)C(=O)O)O,11.00875
145,C(C(C(=O)O)N)OP(=O)(O)O,7.612597
146,C1=CC=C2C(=C1)C(=CN2)C=CC(=O)O,6.222377
147,CC1=CC=C(C=C1)OS(=O)(=O)O,5.440589
148,C(CCCC(=O)O)CCCC(=O)O,0.8768782
149,C1=CC=C2C(=C1)C(=O)C=C(N2)C(=O)O,12.03893
150,C1=CC=C2C(=C1)C(=CN2)CCC(=O)O,6.248623
151,C[N+](C)(C)CCCCC(C(=O)O)N,18.40982
152,C(CC(C(=O)O)N)CC(C(=O)O)N,5.184607
153,C1=CC2=C(C=C1O)C(=CN2)CC(=O)O,6.356211
154,C(C(C(C(=O)O)O)C(=O)O)C(=O)O,10.04505
155,C1C(C(C(CC1(C(=O)O)O)O)O)O,14.93976
156,C1=CC=C(C=C1)CC(=O)NCC(=O)O,11.48655
157,C1(C(C(OC(C1O)O)C(=O)O)O)O,19.0531
158,COC1=C(C=CC(=C1)C=CC(=O)O)O,9.217223
159,COC1=C(C=C(C=C1)C=CC(=O)O)O,10.90249
160,C1=CC(=CC=C1CCCCC(=O)O)O,1.405235
161,C1=CC=C(C(=C1)C(=O)NCC(=O)O)O,10.15039
162,C1=CC(=CC(=C1)O)C(=O)NCC(=O)O,11.83011
163,C1=CC(=CC=C1C(=O)NCC(=O)O)O,10.59425
164,C(C(C(C(C(C(=O)O)O)O)O)O)O,13.97067
166,COC1=C(C=CC(=C1)CCC(=O)O)O,9.698328
167,COC1=C(C=C(C=C1)C(C(=O)O)O)O,11.3797
168,COC1=CC(=CC(=C1O)OC)C(=O)O,16.52024
169,COC1=C(C=CC(=C1)C(C(=O)O)O)O,11.8512
170,C(CCCCC(=O)O)CCCC(=O)O,3.120579
171,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N,9.782989
172,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)O,7.726191
173,C1=CC=C(C=C1)C=CC(=O)NCC(=O)O,9.698839
174,CC(=O)NC(CC1=CC=CC=C1)C(=O)O,9.627696
175,C1=CC=C(C=C1)CCC(=O)NCC(=O)O,8.08464
176,COC1=C(C=C(C=C1)CCC(=O)O)OC,16.11651
177,COC1=CC(=CC(=C1OC)OC)C(=O)O,20.55435
178,C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N,8.115345
179,CC(=O)NC1C(C(C(OC1O)CO)O)O,19.81351
180,COC1=CC(=CC(=C1O)OC)C=CC(=O)O,13.26281
181,C1=CC(=C(C=C1CC(C(=O)O)N)[N+](=O)[O-])O,9.449625
182,C1C(C(OC1N2C=CC(=NC2=O)N)CO)O,24.537
183,C1C(C(OC1N2C=CC(=O)NC2=O)CO)O,22.82397
184,CC(C)CC(C(=O)N1CCCC1C(=O)O)N,5.176923
185,C(CCCCCC(=O)O)CCCCC(=O)O,0.9738581
186,C1=CC=C2C(=C1)C(=CN2)CC(=O)NCC(=O)O,10.07916
187,CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)O,17.1972
189,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,24.35535
190,CC(C)CC(C(=O)O)NC(=O)C(CC(=O)O)N,6.940301
191,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,9.458454
192,C1=CC=C(C=C1)CC(=O)NC(CCC(=O)N)C(=O)O,16.93123
193,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO,16.79884
194,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,27.30622
195,C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)CO)O)O,26.64275
196,C1=CC=C(C=C1)OC2C(C(C(C(O2)C(=O)O)O)O)O,19.76727
197,CC(C)(C)OC(=O)N1CCCC1C(=O)NCC(=O)O,15.64744
198,C(CCNC(CCC(=O)O)C(=O)O)CC(C(=O)O)N,13.24109
199,CCCCCCCCC=CCCCCCCCC(=O)N,-8.717333
200,C1=NC2=C(N1C3C(C(C(O3)CO)O)O)N=C(NC2=O)N,27.02541
201,C1=NC2=C(N1C3C(C(C(O3)CO)O)O)NC(=O)NC2=O,27.66553
202,CC1=CC=C(C=C1)OC2C(C(C(C(O2)C(=O)O)O)O)O,17.17605
203,CCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N,15.19283
204,CSCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,20.63716
205,C1=CC=C2C(=C1)C(=CN2)OC3C(C(C(C(O3)C(=O)O)O)O)O,21.95301
206,CC(=O)NC1C(CC(OC1C(C(CO)O)O)(C(=O)O)O)O,27.00882
