smiles,substructure,average_contribution
CC(C(=O)O)N,Nc1ccccc1,0.0
CC(C(=O)O)N,c1ccc2ccccc2c1,0.0
CC(C(=O)O)N,Oc1ccc2ccccc2c1,0.0
CC(C(=O)O)N,Nc1ccc2cccc(c2)c1,0.0
CC(C(=O)O)N,n1ccccc1,0.0
CC(C(=O)O)N,o1cccc1,0.0
CC(C(=O)O)N,s1cccc1,0.0
CC(C(=O)O)N,n1cccc1,0.0
CNCC(=O)O,C,0.8672868609428406
CNCC(=O)O,CC,0.8169344663619995
CNCC(=O)O,C=C,0.0
CNCC(=O)O,C#C,0.0
CNCC(=O)O,CO,0.7193436622619629
CNCC(=O)O,CCO,0.7626339793205261
CNCC(=O)O,c1ccccc1O,0.0
CNCC(=O)O,COC,0.0
CNCC(=O)O,C=O,0.7474235892295837
CNCC(=O)O,CC=O,0.7813539505004883
CNCC(=O)O,CC(=O)C,0.0
CNCC(=O)O,C(=O)O,0.7162933945655823
CNCC(=O)O,CC(=O)O,0.7495237588882446
CNCC(=O)O,COC(=O)C,0.0
CNCC(=O)O,CN,0.9109551906585693
CNCC(=O)O,CCN,0.8490588068962097
CNCC(=O)O,CC(=O)N,0.0
CNCC(=O)O,CC#N,0.0
CNCC(=O)O,CCl,0.0
CNCC(=O)O,CCBr,0.0
CNCC(=O)O,c1ccccc1S(=O)(=O)O,0.0
CNCC(=O)O,c1ccccc1[N+](=O)[O-],0.0
CNCC(=O)O,c1ccccc1,0.0
CNCC(=O)O,Cc1ccccc1,0.0
CNCC(=O)O,C=CC1=CC=CC=C1,0.0
CNCC(=O)O,Nc1ccccc1,0.0
CNCC(=O)O,c1ccc2ccccc2c1,0.0
CNCC(=O)O,Oc1ccc2ccccc2c1,0.0
CNCC(=O)O,Nc1ccc2cccc(c2)c1,0.0
CNCC(=O)O,n1ccccc1,0.0
CNCC(=O)O,o1cccc1,0.0
CNCC(=O)O,s1cccc1,0.0
CNCC(=O)O,n1cccc1,0.0
C1=CC(=O)NC=C1,C,0.43203210830688477
C1=CC(=O)NC=C1,CC,0.0
C1=CC(=O)NC=C1,C=C,0.0
C1=CC(=O)NC=C1,C#C,0.0
C1=CC(=O)NC=C1,CO,0.0
C1=CC(=O)NC=C1,CCO,0.0
C1=CC(=O)NC=C1,c1ccccc1O,0.0
C1=CC(=O)NC=C1,COC,0.0
C1=CC(=O)NC=C1,C=O,0.5801951885223389
C1=CC(=O)NC=C1,CC=O,0.0
C1=CC(=O)NC=C1,CC(=O)C,0.0
C1=CC(=O)NC=C1,C(=O)O,0.0
C1=CC(=O)NC=C1,CC(=O)O,0.0
C1=CC(=O)NC=C1,COC(=O)C,0.0
C1=CC(=O)NC=C1,CN,0.0
C1=CC(=O)NC=C1,CCN,0.0
C1=CC(=O)NC=C1,CC(=O)N,0.0
C1=CC(=O)NC=C1,CC#N,0.0
C1=CC(=O)NC=C1,CCl,0.0
C1=CC(=O)NC=C1,CCBr,0.0
C1=CC(=O)NC=C1,c1ccccc1S(=O)(=O)O,0.0
C1=CC(=O)NC=C1,c1ccccc1[N+](=O)[O-],0.0
C1=CC(=O)NC=C1,c1ccccc1,0.0
C1=CC(=O)NC=C1,Cc1ccccc1,0.0
C1=CC(=O)NC=C1,C=CC1=CC=CC=C1,0.0
C1=CC(=O)NC=C1,Nc1ccccc1,0.0
C1=CC(=O)NC=C1,c1ccc2ccccc2c1,0.0
C1=CC(=O)NC=C1,Oc1ccc2ccccc2c1,0.0
C1=CC(=O)NC=C1,Nc1ccc2cccc(c2)c1,0.0
C1=CC(=O)NC=C1,n1ccccc1,0.46469923853874207
C1=CC(=O)NC=C1,o1cccc1,0.0
C1=CC(=O)NC=C1,s1cccc1,0.0
C1=CC(=O)NC=C1,n1cccc1,0.0
C1=CC(=CN=C1)O,C,0.5560730695724487
C1=CC(=CN=C1)O,CC,0.0
C1=CC(=CN=C1)O,C=C,0.0
C1=CC(=CN=C1)O,C#C,0.0
C1=CC(=CN=C1)O,CO,0.6845394372940063
C1=CC(=CN=C1)O,CCO,0.0
C1=CC(=CN=C1)O,c1ccccc1O,0.0
C1=CC(=CN=C1)O,COC,0.0
C1=CC(=CN=C1)O,C=O,0.0
C1=CC(=CN=C1)O,CC=O,0.0
C1=CC(=CN=C1)O,CC(=O)C,0.0
C1=CC(=CN=C1)O,C(=O)O,0.0
C1=CC(=CN=C1)O,CC(=O)O,0.0
C1=CC(=CN=C1)O,COC(=O)C,0.0
C1=CC(=CN=C1)O,CN,0.0
C1=CC(=CN=C1)O,CCN,0.0
C1=CC(=CN=C1)O,CC(=O)N,0.0
C1=CC(=CN=C1)O,CC#N,0.0
C1=CC(=CN=C1)O,CCl,0.0
C1=CC(=CN=C1)O,CCBr,0.0
C1=CC(=CN=C1)O,c1ccccc1S(=O)(=O)O,0.0
C1=CC(=CN=C1)O,c1ccccc1[N+](=O)[O-],0.0
C1=CC(=CN=C1)O,c1ccccc1,0.0
C1=CC(=CN=C1)O,Cc1ccccc1,0.0
C1=CC(=CN=C1)O,C=CC1=CC=CC=C1,0.0
C1=CC(=CN=C1)O,Nc1ccccc1,0.0
C1=CC(=CN=C1)O,c1ccc2ccccc2c1,0.0
C1=CC(=CN=C1)O,Oc1ccc2ccccc2c1,0.0
C1=CC(=CN=C1)O,Nc1ccc2cccc(c2)c1,0.0
C1=CC(=CN=C1)O,n1ccccc1,0.5926006436347961
C1=CC(=CN=C1)O,o1cccc1,0.0
C1=CC(=CN=C1)O,s1cccc1,0.0
C1=CC(=CN=C1)O,n1cccc1,0.0
C1CCN(C1)N=O,C,0.466842919588089
C1CCN(C1)N=O,CC,0.4149725139141083
C1CCN(C1)N=O,C=C,0.0
C1CCN(C1)N=O,C#C,0.0
C1CCN(C1)N=O,CO,0.0
C1CCN(C1)N=O,CCO,0.0
C1CCN(C1)N=O,c1ccccc1O,0.0
C1CCN(C1)N=O,COC,0.0
C1CCN(C1)N=O,C=O,0.0
C1CCN(C1)N=O,CC=O,0.0
C1CCN(C1)N=O,CC(=O)C,0.0
C1CCN(C1)N=O,C(=O)O,0.0
C1CCN(C1)N=O,CC(=O)O,0.0
